"Indicator Name","Cancer Type","Year","Country Name","Region","Gender","Area","Numeric","Lower Confidence Limit","Upper Confidence Limit","Comment",
"Physical inactivity, adults aged 18+","","2022","Chile","Region of the Americas","Males","","30.393311","19.140276","43.328728","",
"Physical inactivity, adults aged 18+","","2022","Chile","Region of the Americas","Females","","45.938782","30.288082","62.301571","",
"Physical inactivity, adults aged 18+","","2022","China","Western Pacific Region","Total","","23.834757","17.66819","30.787924","",
"Physical inactivity, adults aged 18+","","2022","China","Western Pacific Region","Males","","27.950201","18.69396","38.587013","",
"Physical inactivity, adults aged 18+","","2022","China","Western Pacific Region","Females","","19.496288","11.637772","28.772205","",
"Physical inactivity, adults aged 18+","","2022","Colombia","Region of the Americas","Total","","34.429096","14.820278","57.086037","",
"Physical inactivity, adults aged 18+","","2022","Colombia","Region of the Americas","Males","","28.057915","8.1652822","57.600182","",
"Physical inactivity, adults aged 18+","","2022","Colombia","Region of the Americas","Females","","40.533222","9.9872322","76.31881","",
"Physical inactivity, adults aged 18+","","2022","Comoros","African Region","Total","","17.200766","7.6401501","30.954542","",
"Physical inactivity, adults aged 18+","","2022","Comoros","African Region","Males","","10.536747","3.1347368","24.203207","",
"Physical inactivity, adults aged 18+","","2022","Comoros","African Region","Females","","23.735258","7.6809702","48.04845","",
"Physical inactivity, adults aged 18+","","2022","Congo","African Region","Total","","15.971411","4.8592854","33.382732","",
"Physical inactivity, adults aged 18+","","2022","Congo","African Region","Males","","12.308707","2.3828042","31.750381","",
"Physical inactivity, adults aged 18+","","2022","Congo","African Region","Females","","19.454044","2.6585314","50.668549","",
"Physical inactivity, adults aged 18+","","2022","Cook Islands","Western Pacific Region","Total","","25.422981","18.174231","33.713932","",
"Physical inactivity, adults aged 18+","","2022","Cook Islands","Western Pacific Region","Males","","16.317717","9.300703","25.40052","",
"Physical inactivity, adults aged 18+","","2022","Cook Islands","Western Pacific Region","Females","","33.134007","21.090242","46.577724","",
"Physical inactivity, adults aged 18+","","2022","Costa Rica","Region of the Americas","Total","","49.658787","34.933186","64.131561","",
"Physical inactivity, adults aged 18+","","2022","Costa Rica","Region of the Americas","Males","","41.587051","24.696871","60.534943","",
"Physical inactivity, adults aged 18+","","2022","Costa Rica","Region of the Americas","Females","","57.74966","34.942909","78.126106","",
"Physical inactivity, adults aged 18+","","2022","Côte d'Ivoire","African Region","Total","","19.677767","6.9311976","37.616528","",
"Physical inactivity, adults aged 18+","","2022","Côte d'Ivoire","African Region","Males","","15.770539","3.791692","36.265545","",
"Physical inactivity, adults aged 18+","","2022","Côte d'Ivoire","African Region","Females","","23.67403","4.2923784","55.691536","",
"Physical inactivity, adults aged 18+","","2022","Croatia","European Region","Total","","28.445187","21.315361","36.483974","",
"Physical inactivity, adults aged 18+","","2022","Croatia","European Region","Males","","28.269438","18.69269","39.097","",
"Physical inactivity, adults aged 18+","","2022","Croatia","European Region","Females","","28.637812","18.579609","40.456856","",
"Physical inactivity, adults aged 18+","","2022","Cuba","Region of the Americas","Total","","61.075569","50.523956","70.945801","",
"Physical inactivity, adults aged 18+","","2022","Cuba","Region of the Americas","Males","","50.245296","35.666599","65.165154","",
"Physical inactivity, adults aged 18+","","2022","Cuba","Region of the Americas","Females","","72.029533","56.680161","84.534492","",
"Physical inactivity, adults aged 18+","","2022","Cyprus","European Region","Total","","40.830891","32.144962","49.79031","",
"Physical inactivity, adults aged 18+","","2022","Cyprus","European Region","Males","","34.761589","23.775738","46.491795","",
"Physical inactivity, adults aged 18+","","2022","Cyprus","European Region","Females","","46.979565","33.328377","61.080696","",
"Physical inactivity, adults aged 18+","","2022","Czechia","European Region","Total","","23.366205","17.015615","30.338318","",
"Physical inactivity, adults aged 18+","","2022","Czechia","European Region","Males","","22.602104","14.483995","32.303696","",
"Physical inactivity, adults aged 18+","","2022","Czechia","European Region","Females","","24.116062","15.051866","34.631367","",
"Physical inactivity, adults aged 18+","","2022","Democratic People's Republic of Korea","South-East Asia Region","Total","","26.98661","11.213155","47.768475","",
"Physical inactivity, adults aged 18+","","2022","Democratic People's Republic of Korea","South-East Asia Region","Males","","24.350491","6.745573","52.637337","",
"Physical inactivity, adults aged 18+","","2022","Democratic People's Republic of Korea","South-East Asia Region","Females","","29.409632","5.8244057","63.643341","",
"Physical inactivity, adults aged 18+","","2022","Democratic Republic of the Congo","African Region","Total","","14.868432","4.3440757","30.958775","",
"Physical inactivity, adults aged 18+","","2022","Democratic Republic of the Congo","African Region","Males","","12.104924","2.3820047","31.670713","",
"Physical inactivity, adults aged 18+","","2022","Democratic Republic of the Congo","African Region","Females","","17.456207","2.2567801","45.62619","",
"Physical inactivity, adults aged 18+","","2022","Denmark","European Region","Total","","12.138766","8.1913185","16.936071","",
"Physical inactivity, adults aged 18+","","2022","Denmark","European Region","Males","","13.059978","7.4615183","20.120588","",
"Physical inactivity, adults aged 18+","","2022","Denmark","European Region","Females","","11.212328","6.00105","18.4816","",
